8/22/2023,26031.66
8/23/2023,26431.64
8/24/2023,26162.37
8/25/2023,26047.67
8/26/2023,26008.46
8/27/2023,26089.69
8/28/2023,26106.15
8/29/2023,27727.39
8/30/2023,27297.27
8/31/2023,25931.47
9/1/2023,25800.72
9/2/2023,25868.80
9/3/2023,25969.57
9/4/2023,25812.42
9/5/2023,25779.98
9/6/2023,25753.24
9/7/2023,26240.20
9/8/2023,25905.65
9/9/2023,25895.68
9/10/2023,25832.23
9/11/2023,25162.65
9/12/2023,25833.34
9/13/2023,26228.32
9/14/2023,26539.67
9/15/2023,26608.69
9/16/2023,26568.28
9/17/2023,26534.19
9/18/2023,26754.28
9/19/2023,27211.12
9/20/2023,27132.01
9/21/2023,26567.63
9/22/2023,26579.57
9/23/2023,26579.39
9/24/2023,26256.83
9/25/2023,26298.48
9/26/2023,26217.25
9/27/2023,26352.72
9/28/2023,27021.55
9/29/2023,26911.72
9/30/2023,26967.92
10/1/2023,27983.75
10/2/2023,27530.79
10/3/2023,27429.98
10/4/2023,27799.39
10/5/2023,27415.91
10/6/2023,27946.60
10/7/2023,27968.84
10/8/2023,27935.09
10/9/2023,27583.68
10/10/2023,27391.02
10/11/2023,26873.32
10/12/2023,26756.80
10/13/2023,26862.38
10/14/2023,26861.71
10/15/2023,27159.65
10/16/2023,28519.47
10/17/2023,28415.75
10/18/2023,28328.34
10/19/2023,28719.81
10/20/2023,29682.95
10/21/2023,29918.41
10/22/2023,29993.90
10/23/2023,33086.23
10/24/2023,33901.53
10/25/2023,34502.82
10/26/2023,34156.65
10/27/2023,33909.80
10/28/2023,34089.57
10/29/2023,34538.48
10/30/2023,34502.36
10/31/2023,34667.78
11/1/2023,35437.25
11/2/2023,34938.24
11/3/2023,34732.32
11/4/2023,35082.20
11/5/2023,35049.36
11/6/2023,35037.37
11/7/2023,35443.56
11/8/2023,35655.28
11/9/2023,36693.13
11/10/2023,37313.97
11/11/2023,37138.05
11/12/2023,37054.52
11/13/2023,36502.36
11/14/2023,35537.64
11/15/2023,37880.58
11/16/2023,36154.77
11/17/2023,36596.68
11/18/2023,36585.70
11/19/2023,37386.55
11/20/2023,37476.96
11/21/2023,35813.81
11/22/2023,37432.34
11/23/2023,37289.62
11/24/2023,37720.28
11/25/2023,37796.79
11/26/2023,37479.12
11/27/2023,37254.17
11/28/2023,37831.09
11/29/2023,37858.49
11/30/2023,37712.75
12/1/2023,38688.75
12/2/2023,39476.33
12/3/2023,39978.39
12/4/2023,41980.10
12/5/2023,44080.65
12/6/2023,43746.45
12/7/2023,43292.66
12/8/2023,44166.60
12/9/2023,43725.98
12/10/2023,43779.70
12/11/2023,41243.83
12/12/2023,41450.22
12/13/2023,42890.74
12/14/2023,43023.97
12/15/2023,41929.76
12/16/2023,42240.12
12/17/2023,41364.66
12/18/2023,42623.54
12/19/2023,42270.53
12/20/2023,43652.25
12/21/2023,43869.15
12/22/2023,43997.90
12/23/2023,43739.54
12/24/2023,43016.12
12/25/2023,43613.14
12/26/2023,42520.40
12/27/2023,43442.86
12/28/2023,42627.86
12/29/2023,42099.40
12/30/2023,42156.90
12/31/2023,42265.19
1/1/2024,44167.33
1/2/2024,44957.97
1/3/2024,42848.18
1/4/2024,44179.92
1/5/2024,44162.69
1/6/2024,43989.20
1/7/2024,43943.10
1/8/2024,46970.50
1/9/2024,46139.73
1/10/2024,46627.78
1/11/2024,46368.59
1/12/2024,42853.17
1/13/2024,42842.38
1/14/2024,41796.27
1/15/2024,42511.97
1/16/2024,42977.28
